         28632 function calls (28374 primitive calls) in 11.522 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       61    0.001    0.000    0.002    0.000 /usr/lib/python3.6/urllib/parse.py:394(urlsplit)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/subprocess.py:588(__init__)
        4    0.000    0.000    0.002    0.001 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/common/utils.py:97(is_connectable)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/subprocess.py:1208(_execute_child)
       60    0.001    0.000    0.002    0.000 /usr/lib/python3.6/string.py:105(substitute)
       60    0.002    0.000    0.002    0.000 /usr/lib/python3.6/json/encoder.py:204(iterencode)
      420    0.000    0.000    0.002    0.000 /usr/lib/python3.6/email/_policybase.py:311(header_fetch_parse)
      120    0.000    0.000    0.002    0.000 /usr/lib/python3.6/http/client.py:713(getheader)
       60    0.001    0.000    0.002    0.000 /usr/lib/python3.6/email/feedparser.py:101(push)
       60    0.001    0.000    0.002    0.000 /usr/lib/python3.6/email/feedparser.py:139(__init__)
      420    0.001    0.000    0.001    0.000 /usr/lib/python3.6/email/_policybase.py:281(_sanitize_header)
        6    0.000    0.000    0.001    0.000 /usr/lib/python3.6/socket.py:728(getaddrinfo)
        2    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/common/service.py:114(is_connectable)
       60    0.001    0.000    0.001    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
   271/60    0.001    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:258(_wrap_value)
       60    0.000    0.000    0.001    0.000 /usr/lib/python3.6/http/client.py:400(_close_conn)
       60    0.000    0.000    0.001    0.000 /usr/lib/python3.6/http/client.py:596(_safe_read)
     1588    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
       60    0.000    0.000    0.001    0.000 {method 'close' of '_io.BufferedReader' objects}
      288    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
        6    0.001    0.000    0.001    0.000 {built-in method _socket.getaddrinfo}
      300    0.000    0.000    0.001    0.000 /usr/lib/python3.6/email/feedparser.py:128(__next__)
      120    0.000    0.000    0.001    0.000 /usr/lib/python3.6/email/message.py:497(get_all)
      120    0.001    0.000    0.001    0.000 /usr/lib/python3.6/email/_policybase.py:293(header_source_parse)
     1288    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      360    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       60    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/remote_connection.py:165(get_remote_connection_headers)
      120    0.000    0.000    0.001    0.000 /usr/lib/python3.6/logging/__init__.py:1286(debug)
        5    0.001    0.000    0.001    0.000 {method 'connect' of '_socket.socket' objects}
     1991    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      413    0.001    0.000    0.001    0.000 {method 'fullmatch' of '_sre.SRE_Pattern' objects}
      240    0.001    0.000    0.001    0.000 /usr/lib/python3.6/email/message.py:29(_splitparam)
       60    0.000    0.000    0.001    0.000 /usr/lib/python3.6/socket.py:649(close)
      120    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
       60    0.000    0.000    0.001    0.000 /usr/lib/python3.6/http/client.py:405(close)
        1    0.001    0.001    0.001    0.001 {built-in method posix.read}
       60    0.000    0.000    0.001    0.000 /usr/lib/python3.6/http/client.py:804(_get_content_length)
       60    0.000    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      420    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/common/utils.py:43(find_connectable_ip)
      120    0.000    0.000    0.001    0.000 /usr/lib/python3.6/logging/__init__.py:1544(isEnabledFor)
       60    0.000    0.000    0.001    0.000 /usr/lib/python3.6/email/feedparser.py:70(close)
       60    0.001    0.000    0.001    0.000 /usr/lib/python3.6/socket.py:560(__init__)
     2437    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
    94/60    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:275(_unwrap_value)
      420    0.000    0.000    0.001    0.000 /usr/lib/python3.6/email/utils.py:51(_has_surrogates)
       60    0.001    0.000    0.001    0.000 /usr/lib/python3.6/email/feedparser.py:53(__init__)
      473    0.000    0.000    0.001    0.000 /usr/lib/python3.6/http/client.py:995(_output)
      300    0.000    0.000    0.001    0.000 /usr/lib/python3.6/email/feedparser.py:78(readline)
       61    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      413    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      124    0.000    0.000    0.000    0.000 /usr/lib/python3.6/urllib/parse.py:109(_coerce_args)
       61    0.000    0.000    0.000    0.000 /usr/lib/python3.6/urllib/parse.py:146(username)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/http/client.py:933(connect)
      480    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       83    0.000    0.000    0.000    0.000 /usr/lib/python3.6/string.py:119(convert)
       32    0.000    0.000    0.000    0.000 /usr/lib/python3.6/urllib/parse.py:386(_splitnetloc)
      593    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
       60    0.000    0.000    0.000    0.000 {function HTTPResponse.close at 0x7f8975fc9598}
       60    0.000    0.000    0.000    0.000 /usr/lib/python3.6/email/feedparser.py:197(_new_message)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:62(_make_w3c_caps)
       60    0.000    0.000    0.000    0.000 /usr/lib/python3.6/http/client.py:370(_check_close)
     1310    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      300    0.000    0.000    0.000    0.000 /usr/lib/python3.6/http/client.py:1243(<genexpr>)
      744    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      120    0.000    0.000    0.000    0.000 /usr/lib/python3.6/email/message.py:120(__init__)
       61    0.000    0.000    0.000    0.000 /usr/lib/python3.6/urllib/parse.py:178(_userinfo)
      134    0.000    0.000    0.000    0.000 /usr/lib/python3.6/socket.py:611(readable)
      308    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
     13/1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/copy.py:132(deepcopy)
      120    0.000    0.000    0.000    0.000 /usr/lib/python3.6/email/feedparser.py:122(pushlines)
       55    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_collections_abc.py:742(__iter__)
       60    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/remote_connection.py:546(<listcomp>)
      120    0.000    0.000    0.000    0.000 /usr/lib/python3.6/logging/__init__.py:1530(getEffectiveLevel)
      2/1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/copy.py:236(_deepcopy_dict)
      238    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       60    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/errorhandler.py:103(check_response)
       60    0.000    0.000    0.000    0.000 /usr/lib/python3.6/socket.py:403(_decref_socketios)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.6/socket.py:139(__init__)
       61    0.000    0.000    0.000    0.000 <string>:12(__new__)
       74    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       24    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:271(create_web_element)
       60    0.000    0.000    0.000    0.000 /usr/lib/python3.6/email/feedparser.py:210(_pop_message)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.6/socket.py:413(close)
      660    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       94    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x9cff80}
       16    0.000    0.000    0.000    0.000 /usr/lib/python3.6/socket.py:97(_intenum_converter)
