         838397 function calls (835668 primitive calls) in 1.256 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    57984    0.017    0.000    0.017    0.000 /usr/lib/python3.6/_weakrefset.py:70(__contains__)
    54126    0.016    0.000    0.016    0.000 {built-in method builtins.hasattr}
    29059    0.007    0.000    0.015    0.000 {built-in method builtins.next}
     5180    0.014    0.000    0.015    0.000 /usr/local/lib/python3.6/dist-packages/bs4/__init__.py:449(_linkage_fixer)
    12649    0.007    0.000    0.015    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/_lxml.py:252(data)
       12    0.000    0.000    0.011    0.001 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:119(extract_cookies_to_jar)
       12    0.000    0.000    0.011    0.001 /usr/lib/python3.6/http/cookiejar.py:1657(extract_cookies)
     5416    0.008    0.000    0.009    0.000 /usr/local/lib/python3.6/dist-packages/bs4/__init__.py:382(pushTag)
       18    0.000    0.000    0.008    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:260(_decode)
       22    0.000    0.000    0.008    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:63(decompress)
       18    0.008    0.000    0.008    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        5    0.000    0.000    0.008    0.002 /usr/local/lib/python3.6/dist-packages/requests/adapters.py:253(build_response)
    29510    0.007    0.000    0.007    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:1331(descendants)
    12724    0.005    0.000    0.007    0.000 /usr/local/lib/python3.6/dist-packages/bs4/__init__.py:544(handle_data)
27793/27787    0.007    0.000    0.007    0.000 {built-in method builtins.len}
     5412    0.005    0.000    0.007    0.000 /usr/local/lib/python3.6/dist-packages/bs4/__init__.py:373(popTag)
     9748    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x9cff80}
    34028    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
    19562    0.006    0.000    0.006    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/_lxml.py:107(_getNsTag)
     7832    0.004    0.000    0.006    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:994(get)
       12    0.000    0.000    0.005    0.000 /usr/lib/python3.6/http/cookiejar.py:1577(make_cookies)
       18    0.000    0.000    0.005    0.000 /usr/lib/python3.6/http/cookiejar.py:936(set_ok)
    17868    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
       11    0.001    0.000    0.005    0.000 /usr/lib/python3.6/urllib/request.py:2458(getproxies_environment)
        5    0.000    0.000    0.004    0.001 /usr/lib/python3.6/http/client.py:194(parse_headers)
        5    0.000    0.000    0.004    0.001 /usr/local/lib/python3.6/dist-packages/requests/utils.py:686(get_environ_proxies)
     1296    0.001    0.000    0.004    0.000 /usr/lib/python3.6/_collections_abc.py:742(__iter__)
        4    0.000    0.000    0.004    0.001 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:662(merge_environment_settings)
        5    0.000    0.000    0.004    0.001 /usr/lib/python3.6/email/parser.py:60(parsestr)
        4    0.000    0.000    0.004    0.001 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:401(prepare_request)
        5    0.000    0.000    0.004    0.001 /usr/lib/python3.6/email/parser.py:42(parse)
       18    0.000    0.000    0.003    0.000 /usr/lib/python3.6/http/cookiejar.py:1556(_cookies_from_attrs_set)
       75    0.000    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/_lxml.py:260(comment)
       18    0.000    0.000    0.003    0.000 /usr/lib/python3.6/http/cookiejar.py:1464(_cookie_from_cookie_tuple)
     5416    0.003    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/__init__.py:114(can_be_empty_element)
        4    0.000    0.000    0.003    0.001 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:398(__exit__)
        5    0.000    0.000    0.003    0.001 /usr/lib/python3.6/email/feedparser.py:173(feed)
        4    0.000    0.000    0.003    0.001 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:705(close)
        6    0.000    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/requests/utils.py:629(should_bypass_proxies)
       18    0.000    0.000    0.003    0.000 /usr/lib/python3.6/http/cookiejar.py:970(set_ok_verifiability)
        8    0.000    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/requests/adapters.py:313(close)
    13277    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
       10    0.000    0.000    0.003    0.000 /usr/lib/python3.6/email/feedparser.py:178(_call_parse)
       20    0.000    0.000    0.003    0.000 /usr/lib/python3.6/http/cookiejar.py:715(is_third_party)
      112    0.001    0.000    0.003    0.000 /usr/lib/python3.6/urllib/parse.py:361(urlparse)
       10    0.000    0.000    0.002    0.000 /usr/lib/python3.6/email/feedparser.py:218(_parsegen)
        8    0.000    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/poolmanager.py:197(clear)
       12    0.000    0.000    0.002    0.000 {built-in method strptime}
        8    0.000    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/_collections.py:86(clear)
        6    0.000    0.000    0.002    0.000 /usr/lib/python3.6/urllib/request.py:2489(proxy_bypass_environment)
     1231    0.001    0.000    0.002    0.000 /usr/lib/python3.6/os.py:664(__getitem__)
     1101    0.002    0.000    0.002    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
11130/11086    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
       41    0.000    0.000    0.002    0.000 /usr/lib/python3.6/http/cookiejar.py:609(request_host)
      3/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:966(_find_and_load)
     5416    0.002    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/__init__.py:279(set_up_substitutions)
      3/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
     6783    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
        4    0.000    0.000    0.002    0.001 /usr/local/lib/python3.6/dist-packages/urllib3/poolmanager.py:155(<lambda>)
        4    0.000    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/connectionpool.py:409(close)
    16237    0.002    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:1029(__bool__)
      3/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:651(_load_unlocked)
       28    0.000    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/requests/structures.py:42(__init__)
      623    0.001    0.000    0.002    0.000 /usr/lib/python3.6/_collections_abc.py:672(keys)
      3/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:672(exec_module)
        5    0.000    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:441(from_httplib)
       37    0.000    0.000    0.002    0.000 /usr/lib/python3.6/_collections_abc.py:824(update)
     5467    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
        4    0.000    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/requests/models.py:299(prepare)
      3/2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      3/2    0.000    0.000    0.001    0.001 {built-in method builtins.exec}
       13    0.000    0.000    0.001    0.000 /usr/lib/python3.6/re.py:231(compile)
       49    0.001    0.000    0.001    0.000 /usr/lib/python3.6/queue.py:147(get)
       13    0.000    0.000    0.001    0.000 /usr/lib/python3.6/re.py:286(_compile)
       21    0.000    0.000    0.001    0.000 /usr/lib/python3.6/http/cookiejar.py:625(eff_request_host)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_compile.py:557(compile)
       18    0.000    0.000    0.001    0.000 /usr/lib/python3.6/http/cookiejar.py:991(set_ok_path)
        5    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/requests/utils.py:160(get_netrc_auth)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:251(rebuild_proxies)
       19    0.000    0.000    0.001    0.000 /usr/lib/python3.6/http/cookiejar.py:636(request_path)
       37    0.000    0.000    0.001    0.000 /usr/lib/python3.6/http/cookiejar.py:666(escape_path)
     4843    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      136    0.001    0.000    0.001    0.000 /usr/lib/python3.6/urllib/parse.py:394(urlsplit)
        5    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/requests/adapters.py:290(get_connection)
       12    0.000    0.000    0.001    0.000 /usr/lib/python3.6/_strptime.py:562(_strptime_datetime)
     5412    0.001    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/_lxml.py:222(_prefix_for_namespace)
       90    0.000    0.000    0.001    0.000 /usr/lib/python3.6/urllib/parse.py:747(quote)
       12    0.000    0.000    0.001    0.000 /usr/lib/python3.6/_strptime.py:321(_strptime)
     2396    0.001    0.000    0.001    0.000 /usr/lib/python3.6/os.py:746(decode)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.6/inspect.py:1087(getfullargspec)
        5    0.000    0.000    0.001    0.000 /usr/lib/python3.6/email/feedparser.py:471(_parse_headers)
    72/13    0.000    0.000    0.001    0.000 /usr/lib/python3.6/abc.py:196(__subclasscheck__)
      102    0.001    0.000    0.001    0.000 /usr/lib/python3.6/_collections_abc.py:657(get)
       28    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:50(merge_setting)
     1231    0.001    0.000    0.001    0.000 /usr/lib/python3.6/os.py:742(encode)
     1210    0.000    0.000    0.001    0.000 /usr/lib/python3.6/os.py:687(__iter__)
        5    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/poolmanager.py:266(connection_from_url)
        8    0.001    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/requests/models.py:830(text)
