         409477 function calls (406448 primitive calls) in 99.360 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3568    0.010    0.000    0.044    0.000 /usr/lib/python3.6/email/message.py:564(get_content_type)
     8028    0.013    0.000    0.033    0.000 /usr/lib/python3.6/email/message.py:462(get)
      892    0.003    0.000    0.032    0.000 /usr/lib/python3.6/email/feedparser.py:184(close)
     2676    0.003    0.000    0.031    0.000 /usr/lib/python3.6/email/message.py:588(get_content_maintype)
      892    0.005    0.000    0.031    0.000 /usr/lib/python3.6/http/client.py:438(read)
      893    0.007    0.000    0.030    0.000 /usr/lib/python3.6/urllib/parse.py:361(urlparse)
      892    0.005    0.000    0.030    0.000 /usr/lib/python3.6/http/client.py:227(__init__)
      892    0.003    0.000    0.025    0.000 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/utils.py:33(dump_json)
      892    0.018    0.000    0.025    0.000 /usr/lib/python3.6/socket.py:218(makefile)
      892    0.012    0.000    0.024    0.000 /usr/lib/python3.6/email/feedparser.py:471(_parse_headers)
      892    0.002    0.000    0.022    0.000 /usr/lib/python3.6/json/__init__.py:183(dumps)
     6244    0.004    0.000    0.020    0.000 /usr/lib/python3.6/email/_policybase.py:311(header_fetch_parse)
      892    0.004    0.000    0.020    0.000 /usr/lib/python3.6/json/encoder.py:182(encode)
      892    0.006    0.000    0.019    0.000 /usr/lib/python3.6/string.py:105(substitute)
     1784    0.005    0.000    0.018    0.000 /usr/lib/python3.6/http/client.py:713(getheader)
      893    0.009    0.000    0.017    0.000 /usr/lib/python3.6/urllib/parse.py:394(urlsplit)
      892    0.008    0.000    0.017    0.000 /usr/lib/python3.6/email/feedparser.py:139(__init__)
      892    0.006    0.000    0.017    0.000 /usr/lib/python3.6/email/feedparser.py:101(push)
     6244    0.007    0.000    0.016    0.000 /usr/lib/python3.6/email/_policybase.py:281(_sanitize_header)
      892    0.015    0.000    0.015    0.000 /usr/lib/python3.6/json/encoder.py:204(iterencode)
      892    0.004    0.000    0.013    0.000 /usr/lib/python3.6/http/client.py:596(_safe_read)
      900    0.008    0.000    0.013    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      892    0.001    0.000    0.012    0.000 /usr/lib/python3.6/http/client.py:400(_close_conn)
     2784    0.012    0.000    0.012    0.000 {method 'decode' of 'bytes' objects}
     4460    0.005    0.000    0.012    0.000 /usr/lib/python3.6/email/feedparser.py:128(__next__)
      892    0.004    0.000    0.011    0.000 {method 'close' of '_io.BufferedReader' objects}
 3692/892    0.008    0.000    0.011    0.000 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:258(_wrap_value)
     1784    0.005    0.000    0.011    0.000 /usr/lib/python3.6/email/message.py:497(get_all)
     5522    0.010    0.000    0.010    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
    21007    0.010    0.000    0.010    0.000 {method 'encode' of 'str' objects}
    18687    0.010    0.000    0.010    0.000 {built-in method builtins.hasattr}
      892    0.004    0.000    0.009    0.000 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/remote_connection.py:165(get_remote_connection_headers)
     1784    0.003    0.000    0.009    0.000 /usr/lib/python3.6/logging/__init__.py:1286(debug)
     1784    0.005    0.000    0.009    0.000 /usr/lib/python3.6/email/_policybase.py:293(header_source_parse)
     3568    0.006    0.000    0.009    0.000 /usr/lib/python3.6/email/message.py:29(_splitparam)
     6054    0.008    0.000    0.008    0.000 {method 'fullmatch' of '_sre.SRE_Pattern' objects}
    25940    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
      892    0.004    0.000    0.008    0.000 /usr/lib/python3.6/http/client.py:405(close)
      892    0.003    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
      960    0.007    0.000    0.007    0.000 {method 'replace' of 'str' objects}
     1784    0.007    0.000    0.007    0.000 {method 'readlines' of '_io._IOBase' objects}
    36389    0.007    0.000    0.007    0.000 {method 'lower' of 'str' objects}
      892    0.005    0.000    0.007    0.000 /usr/lib/python3.6/socket.py:649(close)
      892    0.005    0.000    0.007    0.000 /usr/lib/python3.6/http/client.py:804(_get_content_length)
      892    0.007    0.000    0.007    0.000 /usr/lib/python3.6/email/feedparser.py:53(__init__)
     6244    0.004    0.000    0.007    0.000 /usr/lib/python3.6/email/utils.py:51(_has_surrogates)
     6681    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
      892    0.003    0.000    0.006    0.000 /usr/lib/python3.6/email/feedparser.py:70(close)
     1784    0.003    0.000    0.006    0.000 /usr/lib/python3.6/logging/__init__.py:1544(isEnabledFor)
     4460    0.006    0.000    0.006    0.000 /usr/lib/python3.6/email/feedparser.py:78(readline)
     6946    0.004    0.000    0.006    0.000 /usr/lib/python3.6/http/client.py:995(_output)
     6054    0.005    0.000    0.005    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      892    0.005    0.000    0.005    0.000 /usr/lib/python3.6/socket.py:560(__init__)
      170    0.000    0.000    0.005    0.000 {built-in method strptime}
