         1502840 function calls (1498301 primitive calls) in 2.755 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10295    0.055    0.000    0.161    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\element.py:818(__init__)
    18209    0.048    0.000    0.137    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\__init__.py:421(object_was_parsed)
24149/19880    0.042    0.000    0.108    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\element.py:1528(_matches)
   401579    0.074    0.000    0.104    0.000 {built-in method builtins.isinstance}
       11    0.099    0.009    0.099    0.009 {method 'sendall' of '_socket.socket' objects}
    46713    0.085    0.000    0.085    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\element.py:258(setup)
     9189    0.054    0.000    0.070    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\builder\__init__.py:158(_replace_cdata_list_attribute_values)
    18209    0.028    0.000    0.070    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\element.py:709(__new__)
    10286    0.013    0.000    0.067    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\__init__.py:539(handle_endtag)
       47    0.001    0.000    0.064    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\response.py:595(_update_chunk_length)
    10286    0.033    0.000    0.052    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\__init__.py:489(_popToTag)
     9775    0.040    0.000    0.043    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\__init__.py:449(_linkage_fixer)
       26    0.001    0.000    0.041    0.002 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\cookies.py:118(extract_cookies_to_jar)
       26    0.002    0.000    0.038    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:1667(extract_cookies)
    21325    0.017    0.000    0.033    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\builder\_lxml.py:252(data)
    21988    0.014    0.000    0.031    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\element.py:1425(_normalize_search_value)
    53699    0.014    0.000    0.030    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\abc.py:137(__instancecheck__)
       11    0.001    0.000    0.026    0.002 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\adapters.py:255(build_response)
       38    0.000    0.000    0.025    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\response.py:320(_decode)
       47    0.002    0.000    0.025    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\response.py:71(decompress)
    54164    0.012    0.000    0.025    0.000 {built-in method builtins.next}
    10295    0.020    0.000    0.024    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\__init__.py:382(pushTag)
       38    0.023    0.001    0.023    0.001 {method 'decompress' of 'zlib.Decompress' objects}
   100441    0.020    0.000    0.020    0.000 {built-in method builtins.hasattr}
       11    0.000    0.000    0.019    0.002 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\utils.py:755(get_environ_proxies)
       24    0.003    0.000    0.019    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\urllib\request.py:2456(getproxies_environment)
        2    0.000    0.000    0.018    0.009 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\sessions.py:276(rebuild_proxies)
       40    0.002    0.000    0.018    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:933(set_ok)
       13    0.000    0.000    0.017    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\utils.py:694(should_bypass_proxies)
    10286    0.014    0.000    0.017    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\__init__.py:373(popTag)
       26    0.001    0.000    0.017    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:1587(make_cookies)
    53699    0.016    0.000    0.016    0.000 {built-in method _abc._abc_instancecheck}
     2544    0.004    0.000    0.016    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\_collections_abc.py:742(__iter__)
       13    0.000    0.000    0.016    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\utils.py:86(proxy_bypass)
       11    0.001    0.000    0.016    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\client.py:193(parse_headers)
    21490    0.011    0.000    0.016    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\__init__.py:544(handle_data)
52868/52843    0.015    0.000    0.015    0.000 {built-in method builtins.len}
    36900    0.015    0.000    0.015    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\builder\_lxml.py:107(_getNsTag)
    18543    0.014    0.000    0.014    0.000 {built-in method __new__ of type object at 0x69E11320}
       11    0.001    0.000    0.014    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\email\parser.py:60(parsestr)
       11    0.000    0.000    0.013    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\email\parser.py:42(parse)
    61697    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
      256    0.004    0.000    0.012    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\urllib\parse.py:361(urlparse)
       40    0.000    0.000    0.012    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:1566(_cookies_from_attrs_set)
    55089    0.011    0.000    0.012    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\element.py:1331(descendants)
       44    0.001    0.000    0.011    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:712(is_third_party)
     2420    0.005    0.000    0.010    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\os.py:673(__getitem__)
       11    0.000    0.000    0.010    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\email\feedparser.py:173(feed)
       40    0.002    0.000    0.010    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:1474(_cookie_from_cookie_tuple)
       40    0.000    0.000    0.010    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:967(set_ok_verifiability)
       22    0.000    0.000    0.010    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\email\feedparser.py:178(_call_parse)
       22    0.001    0.000    0.009    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\email\feedparser.py:218(_parsegen)
    33616    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
       90    0.002    0.000    0.009    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:606(request_host)
    24605    0.009    0.000    0.009    0.000 {method 'items' of 'dict' objects}
    14254    0.006    0.000    0.008    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\element.py:994(get)
        9    0.000    0.000    0.008    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\socket.py:731(getaddrinfo)
        9    0.000    0.000    0.008    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\sessions.py:690(merge_environment_settings)
        9    0.008    0.001    0.008    0.001 {built-in method _socket.getaddrinfo}
       11    0.000    0.000    0.008    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\urllib\request.py:2662(getproxies)
        9    0.000    0.000    0.008    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\sessions.py:426(prepare_request)
      165    0.001    0.000    0.008    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\builder\_lxml.py:260(comment)
    10295    0.007    0.000    0.007    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\builder\__init__.py:114(can_be_empty_element)
        9    0.000    0.000    0.006    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\sessions.py:423(__exit__)
        9    0.000    0.000    0.006    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\sessions.py:733(close)
       18    0.000    0.000    0.006    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\adapters.py:319(close)
       18    0.000    0.000    0.006    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\poolmanager.py:199(clear)
       18    0.000    0.000    0.006    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\_collections.py:87(clear)
     2420    0.002    0.000    0.006    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\os.py:743(encodekey)
      309    0.003    0.000    0.005    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\urllib\parse.py:409(urlsplit)
       46    0.000    0.000    0.005    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:622(eff_request_host)
        9    0.000    0.000    0.005    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\poolmanager.py:157(<lambda>)
    13315    0.005    0.000    0.005    0.000 {method 'lower' of 'str' objects}
    20815    0.005    0.000    0.005    0.000 {method 'join' of 'str' objects}
        9    0.000    0.000    0.005    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\connectionpool.py:407(close)
       11    0.001    0.000    0.005    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\response.py:501(from_httplib)
    10295    0.005    0.000    0.005    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\builder\__init__.py:279(set_up_substitutions)
       11    0.000    0.000    0.005    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\utils.py:168(get_netrc_auth)
     2017    0.005    0.000    0.005    0.000 {method 'findall' of 're.Pattern' objects}
       40    0.000    0.000    0.004    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:988(set_ok_path)
       42    0.001    0.000    0.004    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:633(request_path)
       11    0.000    0.000    0.004    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\models.py:556(prepare_cookies)
       11    0.000    0.000    0.004    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\cookies.py:135(get_cookie_header)
      3/2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap>:978(_find_and_load)
       82    0.001    0.000    0.004    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:663(escape_path)
      3/2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
       62    0.000    0.000    0.004    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\structures.py:40(__init__)
       11    0.002    0.000    0.004    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\email\feedparser.py:471(_parse_headers)
       82    0.001    0.000    0.004    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\_collections_abc.py:824(update)
      201    0.001    0.000    0.004    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\urllib\parse.py:779(quote)
       26    0.000    0.000    0.004    0.000 {built-in method strptime}
       11    0.000    0.000    0.004    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:1344(add_cookie_header)
       11    0.000    0.000    0.003    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\adapters.py:292(get_connection)
      110    0.001    0.000    0.003    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\queue.py:153(get)
       13    0.000    0.000    0.003    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\utils.py:47(proxy_bypass_registry)
        9    0.000    0.000    0.003    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\inspect.py:1089(getfullargspec)
      615    0.003    0.000    0.003    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\urllib\parse.py:109(_coerce_args)
      224    0.002    0.000    0.003    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\_collections_abc.py:657(get)
    10308    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
